factuurnummer,klantnummer,factuurdatum,bedrag_incl_btw,journaal_id,businesslijn,transactienummer
VK002506,C10065,2016-12-09,4737.15,70,Verkoopboek ordermanagement,23966
VK002507,C10085,2016-12-09,43.56,70,Verkoopboek ordermanagement,23968
VK002508,C10089,2016-12-09,1432.45,70,Verkoopboek ordermanagement,23970
VK002509,C10095,2016-12-09,1179.75,70,Verkoopboek ordermanagement,23972
VK002510,C10105,2016-12-09,1663.75,70,Verkoopboek ordermanagement,23974
VK002511,C10125,2016-12-09,609.42,70,Verkoopboek ordermanagement,23976
VK002512,C10128,2016-12-09,125.84,70,Verkoopboek ordermanagement,23978
VK002513,C10133,2016-12-09,696.96,70,Verkoopboek ordermanagement,23980
VK002514,C10136,2016-12-09,3622.74,70,Verkoopboek ordermanagement,23982
VK002515,C10142,2016-12-09,1813.79,70,Verkoopboek ordermanagement,23984
VK002516,C10148,2016-12-09,558.66,70,Verkoopboek ordermanagement,23986
VK002517,C10151,2016-12-09,246.84,70,Verkoopboek ordermanagement,23988
VK002518,C10154,2016-12-09,544.5,70,Verkoopboek ordermanagement,23990
VK002519,C10162,2016-12-09,211.75,70,Verkoopboek ordermanagement,23992
VK002520,C10168,2016-12-09,3303.3,70,Verkoopboek ordermanagement,23994
VK002521,C10177,2016-12-09,254.1,70,Verkoopboek ordermanagement,23996
VK002522,C10184,2016-12-09,358.16,70,Verkoopboek ordermanagement,23998
VK002523,C20222,2016-12-09,147,70,Verkoopboek ordermanagement,24000
VK002524,C10009,2016-12-16,2662.12,70,Verkoopboek ordermanagement,24002
VK002525,C10025,2016-12-16,1789.66,70,Verkoopboek ordermanagement,24004
VK002526,C10034,2016-12-16,689.52,70,Verkoopboek ordermanagement,24006
VK002527,C10046,2016-12-16,3538.04,70,Verkoopboek ordermanagement,24008
VK002528,C10049,2016-12-16,1259.91,70,Verkoopboek ordermanagement,24010
VK002529,C10054,2016-12-16,368.45,70,Verkoopboek ordermanagement,24012
VK002530,C10055,2016-12-16,2873.75,70,Verkoopboek ordermanagement,24014
VK002531,C10075,2016-12-16,2316.55,70,Verkoopboek ordermanagement,24016
VK002532,C10087,2016-12-16,317.02,70,Verkoopboek ordermanagement,24018
VK002533,C10155,2016-12-16,853.05,70,Verkoopboek ordermanagement,24020
VK002534,C10158,2016-12-16,221.43,70,Verkoopboek ordermanagement,24022
VK002535,C10161,2016-12-16,381.15,70,Verkoopboek ordermanagement,24024
VK002536,C10181,2016-12-16,5684.58,70,Verkoopboek ordermanagement,24026
VK002537,C10182,2016-12-16,359.37,70,Verkoopboek ordermanagement,24028
VK002538,C24585,2016-12-16,1251.3,70,Verkoopboek ordermanagement,24030
VK002539,C10006,2016-12-23,1022.45,70,Verkoopboek ordermanagement,24032
VK002540,C10008,2016-12-23,537.17,70,Verkoopboek ordermanagement,24034
VK002541,C10018,2016-12-23,4682.7,70,Verkoopboek ordermanagement,24036
VK002542,C10021,2016-12-23,5.99,70,Verkoopboek ordermanagement,24038
VK002543,C10032,2016-12-23,54.45,70,Verkoopboek ordermanagement,24039
VK002544,C10035,2016-12-23,116.16,70,Verkoopboek ordermanagement,24041
VK002545,C10036,2016-12-23,696.96,70,Verkoopboek ordermanagement,24043
VK002546,C10040,2016-12-23,174.24,70,Verkoopboek ordermanagement,24045
VK002547,C10043,2016-12-23,423.5,70,Verkoopboek ordermanagement,24047
VK002548,C10045,2016-12-23,9589.25,70,Verkoopboek ordermanagement,24049
VK002549,C10061,2016-12-23,359.37,70,Verkoopboek ordermanagement,24051
VK002550,C10062,2016-12-23,1566.95,70,Verkoopboek ordermanagement,24053
VK002551,C10064,2016-12-23,207.52,70,Verkoopboek ordermanagement,24055
VK002552,C10068,2016-12-23,1119.25,70,Verkoopboek ordermanagement,24057
VK002553,C10083,2016-12-23,2093.88,70,Verkoopboek ordermanagement,24059
VK002554,C10094,2016-12-23,138.74,70,Verkoopboek ordermanagement,24061
VK002555,C10099,2016-12-23,861.52,70,Verkoopboek ordermanagement,24063
VK002556,C10108,2016-12-23,1687.95,70,Verkoopboek ordermanagement,24065
VK002557,C10116,2016-12-23,123.42,70,Verkoopboek ordermanagement,24067
VK002558,C10143,2016-12-23,3238.42,70,Verkoopboek ordermanagement,24069
VK002559,C10144,2016-12-23,738.1,70,Verkoopboek ordermanagement,24071
VK002560,C10163,2016-12-23,188.58,70,Verkoopboek ordermanagement,24073
VK002561,C10170,2016-12-23,1899.7,70,Verkoopboek ordermanagement,24075
VK002562,C10171,2016-12-23,179.06,70,Verkoopboek ordermanagement,24077
VK002563,C10174,2016-12-23,246.6,70,Verkoopboek ordermanagement,24079
VK002564,C10179,2016-12-23,5412.33,70,Verkoopboek ordermanagement,24081
VK002565,C20675,2016-12-23,150,70,Verkoopboek ordermanagement,24083
VK002566,C22910,2016-12-23,150,70,Verkoopboek ordermanagement,24085
VK002567,C23955,2016-12-23,2563.84,70,Verkoopboek ordermanagement,24087
VK002568,C24777,2016-12-23,1348.84,70,Verkoopboek ordermanagement,24089
VK002569,C24851,2016-12-23,1991.2,70,Verkoopboek ordermanagement,24091
VK002570,C10001,2016-12-30,1473.78,70,Verkoopboek ordermanagement,24093
VK002571,C10005,2016-12-30,838.53,70,Verkoopboek ordermanagement,24095
VK002572,C10016,2016-12-30,348.48,70,Verkoopboek ordermanagement,24097
VK002573,C10038,2016-12-30,838.53,70,Verkoopboek ordermanagement,24099
VK002574,C10060,2016-12-30,53.91,70,Verkoopboek ordermanagement,24101
VK002575,C10073,2016-12-30,77.44,70,Verkoopboek ordermanagement,24102
VK002576,C10080,2016-12-30,671.55,70,Verkoopboek ordermanagement,24104
VK002577,C10091,2016-12-30,838.53,70,Verkoopboek ordermanagement,24106
VK002578,C10093,2016-12-30,2722.5,70,Verkoopboek ordermanagement,24108
VK002579,C10100,2016-12-30,436.81,70,Verkoopboek ordermanagement,24110
VK002580,C10111,2016-12-30,8179.6,70,Verkoopboek ordermanagement,24112
VK002581,C10120,2016-12-30,5506.71,70,Verkoopboek ordermanagement,24114
VK002582,C10121,2016-12-30,2662,70,Verkoopboek ordermanagement,24116
VK002583,C10141,2016-12-30,1197.9,70,Verkoopboek ordermanagement,24118
VK002584,C10156,2016-12-30,844.58,70,Verkoopboek ordermanagement,24120
VK002585,C10159,2016-12-30,1285.02,70,Verkoopboek ordermanagement,24122
PR002653,C10024,2016-01-15,1452,71,Verkoopboek projecten,14376
PR002654,C10185,2016-01-15,1306.8,71,Verkoopboek projecten,14377
PR002655,C10006,2016-01-15,1210,71,Verkoopboek projecten,14378
PR002656,C10008,2016-01-15,968,71,Verkoopboek projecten,14379
PR002657,C10012,2016-01-15,2364.82,71,Verkoopboek projecten,14380
PR002658,C10016,2016-01-15,1058.02,71,Verkoopboek projecten,14381
PR002659,C10019,2016-01-15,2420,71,Verkoopboek projecten,14382
PR002660,C10021,2016-01-15,2885.85,71,Verkoopboek projecten,14383
PR002661,C10026,2016-01-15,968,71,Verkoopboek projecten,14385
PR002662,C10027,2016-01-15,3478.02,71,Verkoopboek projecten,14386
PR002663,C10028,2016-01-15,1452,71,Verkoopboek projecten,14387
PR002664,C10029,2016-01-15,1452,71,Verkoopboek projecten,14388
PR002665,C10030,2016-01-15,1210,71,Verkoopboek projecten,14389
PR002666,C10037,2016-01-15,2305.05,71,Verkoopboek projecten,14390
PR002667,C10038,2016-01-15,1064.8,71,Verkoopboek projecten,14392
PR002668,C10039,2016-01-15,1306.8,71,Verkoopboek projecten,14393
PR002669,C10040,2016-01-15,1210,71,Verkoopboek projecten,14394
PR002670,C10041,2016-01-15,1452,71,Verkoopboek projecten,14395
PR002671,C10042,2016-01-15,2122.82,71,Verkoopboek projecten,14396
PR002672,C10045,2016-01-15,1058.02,71,Verkoopboek projecten,14397
PR002673,C10047,2016-01-15,2662,71,Verkoopboek projecten,14398
PR002674,C10054,2016-01-15,1452,71,Verkoopboek projecten,14399
PR002675,C10055,2016-01-15,2274.8,71,Verkoopboek projecten,14400
PR002676,C10061,2016-01-15,2032.8,71,Verkoopboek projecten,14401
PR002677,C10063,2016-01-15,2032.8,71,Verkoopboek projecten,14402
PR002678,C10070,2016-01-15,1452,71,Verkoopboek projecten,14403
PR002679,C10076,2016-01-15,2420,71,Verkoopboek projecten,14404
PR002680,C10079,2016-01-15,1452,71,Verkoopboek projecten,14405
PR002681,C10084,2016-01-15,968,71,Verkoopboek projecten,14406
PR002682,C10087,2016-01-15,2613.6,71,Verkoopboek projecten,14407
PR002683,C10088,2016-01-15,2371.6,71,Verkoopboek projecten,14408
PR002684,C10089,2016-01-15,1058.02,71,Verkoopboek projecten,14409
PR002685,C10090,2016-01-15,1064.8,71,Verkoopboek projecten,14410
PR002686,C10094,2016-01-15,2613.6,71,Verkoopboek projecten,14411
PR002687,C10096,2016-01-15,2516.8,71,Verkoopboek projecten,14412
PR002688,C10100,2016-01-15,2904,71,Verkoopboek projecten,14413
PR002689,C10101,2016-01-15,968,71,Verkoopboek projecten,14414
PR002690,C10114,2016-01-15,1210,71,Verkoopboek projecten,14415
PR002691,C10115,2016-01-15,2662,71,Verkoopboek projecten,14416
PR002692,C10116,2016-01-15,2516.8,71,Verkoopboek projecten,14417
PR002693,C10117,2016-01-15,3962.02,71,Verkoopboek projecten,14418
PR002694,C10124,2016-01-15,2274.8,71,Verkoopboek projecten,14419
PR002695,C10126,2016-01-15,1936,71,Verkoopboek projecten,14420
PR002696,C10137,2016-01-15,1210,71,Verkoopboek projecten,14421
PR002697,C10140,2016-01-15,2371.6,71,Verkoopboek projecten,14422
PR002698,C10144,2016-01-15,1058.02,71,Verkoopboek projecten,14423
PR002699,C10146,2016-01-15,968,71,Verkoopboek projecten,14424
PR002700,C10153,2016-01-15,1210,71,Verkoopboek projecten,14425
PR002701,C10155,2016-01-15,1452,71,Verkoopboek projecten,14426
PR002702,C10157,2016-01-15,5123.62,71,Verkoopboek projecten,14427
PR002703,C10158,2016-01-15,1064.8,71,Verkoopboek projecten,14428
PR002704,C10159,2016-01-15,2364.82,71,Verkoopboek projecten,14429
PR002705,C10169,2016-01-15,968,71,Verkoopboek projecten,14430
PR002706,C10024,2016-01-29,2032.8,71,Verkoopboek projecten,14431
PR002707,C10050,2016-01-29,1064.8,71,Verkoopboek projecten,14432
PR002708,C10186,2016-01-29,1064.8,71,Verkoopboek projecten,14433
PR002709,C10006,2016-01-29,2516.8,71,Verkoopboek projecten,14434
PR002710,C10007,2016-01-29,1058.02,71,Verkoopboek projecten,14435
PR002711,C10009,2016-01-29,1064.8,71,Verkoopboek projecten,14436
PR002712,C10010,2016-01-29,1452,71,Verkoopboek projecten,14437
PR002713,C10012,2016-01-29,2129.6,71,Verkoopboek projecten,14438
PR002714,C10013,2016-01-29,1210,71,Verkoopboek projecten,14439
PR002715,C10016,2016-01-29,1306.8,71,Verkoopboek projecten,14440
PR002716,C10021,2016-01-29,4881.62,71,Verkoopboek projecten,14441
PR002717,C10026,2016-01-29,968,71,Verkoopboek projecten,14442
PR002718,C10028,2016-01-29,1064.8,71,Verkoopboek projecten,14443
PR002719,C10029,2016-01-29,2613.6,71,Verkoopboek projecten,14444
PR002720,C10030,2016-01-29,1064.8,71,Verkoopboek projecten,14445
PR002721,C10031,2016-01-29,1452,71,Verkoopboek projecten,14446
PR002722,C10037,2016-01-29,1064.8,71,Verkoopboek projecten,14447
PR002723,C10041,2016-01-29,1452,71,Verkoopboek projecten,14448
PR002724,C10047,2016-01-29,968,71,Verkoopboek projecten,14449
PR002725,C10048,2016-01-29,1058.02,71,Verkoopboek projecten,14450
PR002726,C10049,2016-01-29,1210,71,Verkoopboek projecten,14451
PR002727,C10003,2016-01-29,2904,71,Verkoopboek projecten,14452
PR002728,C10051,2016-01-29,1210,71,Verkoopboek projecten,14453
PR002729,C10053,2016-01-29,1058.02,71,Verkoopboek projecten,14454
PR002730,C10054,2016-01-29,2516.8,71,Verkoopboek projecten,14455
PR002731,C10057,2016-01-29,1306.8,71,Verkoopboek projecten,14456
PR002732,C10061,2016-01-29,3872,71,Verkoopboek projecten,14457
PR002733,C10063,2016-01-29,2420,71,Verkoopboek projecten,14458
PR002734,C10005,2016-01-29,1064.8,71,Verkoopboek projecten,14459
PR002735,C10076,2016-01-29,2420,71,Verkoopboek projecten,14460
PR002736,C10084,2016-01-29,1452,71,Verkoopboek projecten,14461
PR002737,C10086,2016-01-29,1452,71,Verkoopboek projecten,14462
PR002738,C10087,2016-01-29,968,71,Verkoopboek projecten,14463
PR002739,C10092,2016-01-29,1452,71,Verkoopboek projecten,14464
PR002740,C10093,2016-01-29,1064.8,71,Verkoopboek projecten,14465
PR002741,C10094,2016-01-29,2516.8,71,Verkoopboek projecten,14466
PR002742,C10100,2016-01-29,1058.02,71,Verkoopboek projecten,14467
PR002743,C10104,2016-01-29,2371.6,71,Verkoopboek projecten,14468
PR002744,C10109,2016-01-29,1058.02,71,Verkoopboek projecten,14469
PR002745,C10115,2016-01-29,1210,71,Verkoopboek projecten,14470
PR002746,C10122,2016-01-29,1210,71,Verkoopboek projecten,14471
PR002747,C10124,2016-01-29,1058.02,71,Verkoopboek projecten,14472
PR002748,C10131,2016-01-29,1306.8,71,Verkoopboek projecten,14473
PR002749,C10137,2016-01-29,968,71,Verkoopboek projecten,14474
PR002750,C10138,2016-01-29,1306.8,71,Verkoopboek projecten,14475
PR002751,C10139,2016-01-29,1452,71,Verkoopboek projecten,14476
PR002752,C10145,2016-01-29,1306.8,71,Verkoopboek projecten,14477
PR002753,C10150,2016-01-29,1064.8,71,Verkoopboek projecten,14478
PR002754,C10153,2016-01-29,968,71,Verkoopboek projecten,14479
PR002755,C10157,2016-01-29,1058.02,71,Verkoopboek projecten,14480
PR002756,C10169,2016-01-29,2116.05,71,Verkoopboek projecten,14481
PR002757,C10170,2016-01-29,1210,71,Verkoopboek projecten,14482
PR002758,C10185,2016-01-31,13310,71,Verkoopboek projecten,14999
PR002759,C10024,2016-02-15,1306.8,71,Verkoopboek projecten,15015
PR002760,C10050,2016-02-15,1064.8,71,Verkoopboek projecten,15016
PR002761,C10068,2016-02-15,968,71,Verkoopboek projecten,15017
PR002762,C10186,2016-02-15,1064.8,71,Verkoopboek projecten,15018
PR002763,C10185,2016-02-15,4065.6,71,Verkoopboek projecten,15019
PR002764,C10007,2016-02-15,1210,71,Verkoopboek projecten,15020
PR002765,C10012,2016-02-15,2420,71,Verkoopboek projecten,15021
PR002766,C10013,2016-02-15,2274.8,71,Verkoopboek projecten,15022
PR002767,C10017,2016-02-15,1058.02,71,Verkoopboek projecten,15023
PR002768,C10018,2016-02-15,1058.02,71,Verkoopboek projecten,15024
PR002769,C10019,2016-02-15,1452,71,Verkoopboek projecten,15025
PR002770,C10021,2016-02-15,3084.05,71,Verkoopboek projecten,15026
PR002771,C10022,2016-02-15,1210,71,Verkoopboek projecten,15027
PR002772,C10023,2016-02-15,1058.02,71,Verkoopboek projecten,15028
PR002773,C10027,2016-02-15,1306.8,71,Verkoopboek projecten,15029
PR002774,C10028,2016-02-15,968,71,Verkoopboek projecten,15030
PR002775,C10030,2016-02-15,1064.8,71,Verkoopboek projecten,15031
PR002776,C10031,2016-02-15,2758.8,71,Verkoopboek projecten,15032
PR002777,C10033,2016-02-15,1452,71,Verkoopboek projecten,15033
PR002778,C10035,2016-02-15,1210,71,Verkoopboek projecten,15034
PR002779,C10038,2016-02-15,1306.8,71,Verkoopboek projecten,15035
PR002780,C10040,2016-02-15,2516.8,71,Verkoopboek projecten,15036
PR002781,C10041,2016-02-15,1064.8,71,Verkoopboek projecten,15037
PR002782,C10043,2016-02-15,2371.6,71,Verkoopboek projecten,15038
PR002783,C10045,2016-02-15,2274.8,71,Verkoopboek projecten,15039
PR002784,C10047,2016-02-15,1306.8,71,Verkoopboek projecten,15040
PR002785,C10048,2016-02-15,968,71,Verkoopboek projecten,15041
PR002786,C10003,2016-02-15,2371.6,71,Verkoopboek projecten,15042
PR002787,C10051,2016-02-15,1210,71,Verkoopboek projecten,15043
PR002788,C10053,2016-02-15,1452,71,Verkoopboek projecten,15044
PR002789,C10054,2016-02-15,1452,71,Verkoopboek projecten,15045
PR002790,C10057,2016-02-15,1210,71,Verkoopboek projecten,15046
PR002791,C10063,2016-02-15,968,71,Verkoopboek projecten,15047
PR002792,C10064,2016-02-15,1306.8,71,Verkoopboek projecten,15048
PR002793,C10005,2016-02-15,2364.82,71,Verkoopboek projecten,15049
PR002794,C10069,2016-02-15,1108.84,71,Verkoopboek projecten,15050
PR002795,C10070,2016-02-15,2613.6,71,Verkoopboek projecten,15052
PR002796,C10072,2016-02-15,2371.6,71,Verkoopboek projecten,15053
PR002797,C10079,2016-02-15,2274.8,71,Verkoopboek projecten,15054
PR002798,C10082,2016-02-15,2274.8,71,Verkoopboek projecten,15055
PR002799,C10084,2016-02-15,2268.02,71,Verkoopboek projecten,15056
PR002800,C10085,2016-02-15,1064.8,71,Verkoopboek projecten,15057
PR002801,C10088,2016-02-15,1452,71,Verkoopboek projecten,15058
PR002802,C10089,2016-02-15,968,71,Verkoopboek projecten,15059
PR002803,C10092,2016-02-15,2268.02,71,Verkoopboek projecten,15060
PR002804,C10093,2016-02-15,2371.6,71,Verkoopboek projecten,15061
PR002805,C10096,2016-02-15,1210,71,Verkoopboek projecten,15062
PR002806,C10109,2016-02-15,1452,71,Verkoopboek projecten,15063
PR002807,C10111,2016-02-15,1064.8,71,Verkoopboek projecten,15064
PR002808,C10115,2016-02-15,2758.8,71,Verkoopboek projecten,15065
PR002809,C10117,2016-02-15,2516.8,71,Verkoopboek projecten,15066
PR002810,C10122,2016-02-15,1058.02,71,Verkoopboek projecten,15067
PR002811,C10136,2016-02-15,1064.8,71,Verkoopboek projecten,15068
PR002812,C10137,2016-02-15,2371.6,71,Verkoopboek projecten,15069
PR002813,C10139,2016-02-15,2420,71,Verkoopboek projecten,15070
PR002814,C10144,2016-02-15,2274.8,71,Verkoopboek projecten,15071
PR002815,C10146,2016-02-15,2026.02,71,Verkoopboek projecten,15072
PR002816,C10148,2016-02-15,1210,71,Verkoopboek projecten,15073
PR002817,C10150,2016-02-15,2274.8,71,Verkoopboek projecten,15074
PR002818,C10170,2016-02-15,1210,71,Verkoopboek projecten,15075
PR002819,C10068,2016-02-29,2510.02,71,Verkoopboek projecten,15076
PR002820,C10186,2016-02-29,2510.02,71,Verkoopboek projecten,15077
PR002821,C10185,2016-02-29,3630,71,Verkoopboek projecten,15078
PR002822,C10008,2016-02-29,1210,71,Verkoopboek projecten,15079
PR002823,C10011,2016-02-29,1064.8,71,Verkoopboek projecten,15080
PR002824,C10012,2016-02-29,968,71,Verkoopboek projecten,15081
PR002825,C10013,2016-02-29,1306.8,71,Verkoopboek projecten,15082
PR002826,C10014,2016-02-29,1210,71,Verkoopboek projecten,15083
PR002827,C10015,2016-02-29,1064.8,71,Verkoopboek projecten,15084
PR002828,C10016,2016-02-29,2510.02,71,Verkoopboek projecten,15085
PR002829,C10022,2016-02-29,1306.8,71,Verkoopboek projecten,15086
PR002830,C10026,2016-02-29,1306.8,71,Verkoopboek projecten,15087
PR002831,C10028,2016-02-29,3484.8,71,Verkoopboek projecten,15088
PR002832,C10029,2016-02-29,1064.8,71,Verkoopboek projecten,15089
PR002833,C10030,2016-02-29,1452,71,Verkoopboek projecten,15090
PR002834,C10031,2016-02-29,1452,71,Verkoopboek projecten,15091
PR002835,C10033,2016-02-29,1210,71,Verkoopboek projecten,15092
PR002836,C10036,2016-02-29,2613.6,71,Verkoopboek projecten,15093
PR002837,C10037,2016-02-29,968,71,Verkoopboek projecten,15094
PR002838,C10038,2016-02-29,1452,71,Verkoopboek projecten,15095
PR002839,C10039,2016-02-29,2032.8,71,Verkoopboek projecten,15096
PR002840,C10040,2016-02-29,2510.02,71,Verkoopboek projecten,15097
PR002841,C10043,2016-02-29,1452,71,Verkoopboek projecten,15098
PR002842,C10045,2016-02-29,2129.6,71,Verkoopboek projecten,15099
PR002843,C10048,2016-02-29,1058.02,71,Verkoopboek projecten,15100
PR002844,C10051,2016-02-29,968,71,Verkoopboek projecten,15101
PR002845,C10053,2016-02-29,3574.82,71,Verkoopboek projecten,15102
PR002846,C10054,2016-02-29,1452,71,Verkoopboek projecten,15103
PR002847,C10057,2016-02-29,1452,71,Verkoopboek projecten,15104
PR002848,C10061,2016-02-29,1058.02,71,Verkoopboek projecten,15105
PR002849,C10064,2016-02-29,1064.8,71,Verkoopboek projecten,15106
PR002850,C10005,2016-02-29,1064.8,71,Verkoopboek projecten,15107
PR002851,C10070,2016-02-29,1306.8,71,Verkoopboek projecten,15108
PR002852,C10072,2016-02-29,2032.8,71,Verkoopboek projecten,15109
PR002853,C10076,2016-02-29,1452,71,Verkoopboek projecten,15110
PR002854,C10082,2016-02-29,1452,71,Verkoopboek projecten,15111
PR002855,C10084,2016-02-29,3429.62,71,Verkoopboek projecten,15112
PR002856,C10088,2016-02-29,968,71,Verkoopboek projecten,15113
PR002857,C10093,2016-02-29,1452,71,Verkoopboek projecten,15114
PR002858,C10094,2016-02-29,2613.6,71,Verkoopboek projecten,15115
PR002859,C10096,2016-02-29,1306.8,71,Verkoopboek projecten,15116
PR002860,C10100,2016-02-29,1452,71,Verkoopboek projecten,15117
PR002861,C10104,2016-02-29,968,71,Verkoopboek projecten,15118
PR002862,C10109,2016-02-29,1058.02,71,Verkoopboek projecten,15119
PR002863,C10111,2016-02-29,968,71,Verkoopboek projecten,15120
PR002864,C10113,2016-02-29,2129.6,71,Verkoopboek projecten,15121
PR002865,C10114,2016-02-29,968,71,Verkoopboek projecten,15122
PR002866,C10117,2016-02-29,1064.8,71,Verkoopboek projecten,15123
PR002867,C10122,2016-02-29,1058.02,71,Verkoopboek projecten,15124
PR002868,C10134,2016-02-29,1064.8,71,Verkoopboek projecten,15125
PR002869,C10137,2016-02-29,2371.6,71,Verkoopboek projecten,15126
PR002870,C10138,2016-02-29,1210,71,Verkoopboek projecten,15127
PR002871,C10139,2016-02-29,1306.8,71,Verkoopboek projecten,15128
PR002872,C10145,2016-02-29,1210,71,Verkoopboek projecten,15129
PR002873,C10148,2016-02-29,1306.8,71,Verkoopboek projecten,15130
PR002874,C10159,2016-02-29,1210,71,Verkoopboek projecten,15131
PR002875,C10068,2016-03-15,2371.6,71,Verkoopboek projecten,15719
PR002876,C10185,2016-03-15,1452,71,Verkoopboek projecten,15720
PR002877,C10006,2016-03-15,1306.8,71,Verkoopboek projecten,15721
PR002878,C10008,2016-03-15,3726.8,71,Verkoopboek projecten,15722
PR002879,C10010,2016-03-15,1306.8,71,Verkoopboek projecten,15723
PR002880,C10013,2016-03-15,3339.6,71,Verkoopboek projecten,15724
PR002881,C10016,2016-03-15,2371.6,71,Verkoopboek projecten,15725
PR002882,C10018,2016-03-15,1306.8,71,Verkoopboek projecten,15726
PR002883,C10019,2016-03-15,1210,71,Verkoopboek projecten,15727
PR002884,C10021,2016-03-15,3816.82,71,Verkoopboek projecten,15728
PR002885,C10022,2016-03-15,2420,71,Verkoopboek projecten,15729
PR002886,C10028,2016-03-15,4487.65,71,Verkoopboek projecten,15730
PR002887,C10029,2016-03-15,1210,71,Verkoopboek projecten,15731
PR002888,C10030,2016-03-15,3332.82,71,Verkoopboek projecten,15732
PR002889,C10031,2016-03-15,2420,71,Verkoopboek projecten,15733
PR002890,C10039,2016-03-15,968,71,Verkoopboek projecten,15734
PR002891,C10040,2016-03-15,1210,71,Verkoopboek projecten,15735
PR002892,C10042,2016-03-15,1058.02,71,Verkoopboek projecten,15736
PR002893,C10043,2016-03-15,1210,71,Verkoopboek projecten,15737
PR002894,C10045,2016-03-15,1058.02,71,Verkoopboek projecten,15738
PR002895,C10046,2016-03-15,2420,71,Verkoopboek projecten,15739
PR002896,C10047,2016-03-15,3581.6,71,Verkoopboek projecten,15740
PR002897,C10048,2016-03-15,1306.8,71,Verkoopboek projecten,15741
PR002898,C10051,2016-03-15,2026.02,71,Verkoopboek projecten,15742
PR002899,C10057,2016-03-15,1452,71,Verkoopboek projecten,15743
PR002900,C10058,2016-03-15,968,71,Verkoopboek projecten,15744
PR002901,C10059,2016-03-15,1306.8,71,Verkoopboek projecten,15745
PR002902,C10061,2016-03-15,2613.6,71,Verkoopboek projecten,15746
PR002903,C10069,2016-03-15,1064.8,71,Verkoopboek projecten,15747
PR002904,C10070,2016-03-15,1210,71,Verkoopboek projecten,15748
PR002905,C10072,2016-03-15,1210,71,Verkoopboek projecten,15749
PR002906,C10076,2016-03-15,2420,71,Verkoopboek projecten,15750
PR002907,C10079,2016-03-15,1064.8,71,Verkoopboek projecten,15751
PR002908,C10082,2016-03-15,1210,71,Verkoopboek projecten,15752
PR002909,C10084,2016-03-15,3236.02,71,Verkoopboek projecten,15753
PR002910,C10085,2016-03-15,1064.8,71,Verkoopboek projecten,15754
PR002911,C10087,2016-03-15,1210,71,Verkoopboek projecten,15755
PR002912,C10088,2016-03-15,3574.82,71,Verkoopboek projecten,15756
PR002913,C10089,2016-03-15,2371.6,71,Verkoopboek projecten,15757
PR002914,C10090,2016-03-15,968,71,Verkoopboek projecten,15758
PR002915,C10092,2016-03-15,1452,71,Verkoopboek projecten,15759
PR002916,C10096,2016-03-15,1058.02,71,Verkoopboek projecten,15760
PR002917,C10100,2016-03-15,1452,71,Verkoopboek projecten,15761
PR002918,C10101,2016-03-15,968,71,Verkoopboek projecten,15762
PR002919,C10109,2016-03-15,3436.4,71,Verkoopboek projecten,15763
PR002920,C10114,2016-03-15,968,71,Verkoopboek projecten,15764
PR002921,C10115,2016-03-15,1210,71,Verkoopboek projecten,15765
PR002922,C10116,2016-03-15,1210,71,Verkoopboek projecten,15766
PR002923,C10117,2016-03-15,1210,71,Verkoopboek projecten,15767
PR002924,C10122,2016-03-15,2662,71,Verkoopboek projecten,15768
PR002925,C10124,2016-03-15,1452,71,Verkoopboek projecten,15769
PR002926,C10126,2016-03-15,1306.8,71,Verkoopboek projecten,15770
PR002927,C10136,2016-03-15,2420,71,Verkoopboek projecten,15771
PR002928,C10137,2016-03-15,1452,71,Verkoopboek projecten,15772
PR002929,C10138,2016-03-15,968,71,Verkoopboek projecten,15773
PR002930,C10140,2016-03-15,3388,71,Verkoopboek projecten,15774
PR002931,C10146,2016-03-15,2032.8,71,Verkoopboek projecten,15775
PR002932,C10148,2016-03-15,2032.8,71,Verkoopboek projecten,15776
PR002933,C10150,2016-03-15,1210,71,Verkoopboek projecten,15777
PR002934,C10153,2016-03-15,1064.8,71,Verkoopboek projecten,15778
PR002935,C10157,2016-03-15,2129.6,71,Verkoopboek projecten,15779
PR002936,C10169,2016-03-15,2516.8,71,Verkoopboek projecten,15780
PR002937,C10170,2016-03-15,1058.02,71,Verkoopboek projecten,15781
PR002938,C10024,2016-03-31,2662,71,Verkoopboek projecten,15782
PR002939,C10050,2016-03-31,2129.6,71,Verkoopboek projecten,15783
PR002940,C10068,2016-03-31,1306.8,71,Verkoopboek projecten,15784
PR002941,C10186,2016-03-31,2274.8,71,Verkoopboek projecten,15785
PR002942,C10185,2016-03-31,2516.8,71,Verkoopboek projecten,15786
PR002943,C10007,2016-03-31,968,71,Verkoopboek projecten,15787
PR002944,C10008,2016-03-31,1452,71,Verkoopboek projecten,15788
PR002945,C10009,2016-03-31,1064.8,71,Verkoopboek projecten,15789
PR002946,C10010,2016-03-31,1064.8,71,Verkoopboek projecten,15790
PR002947,C10011,2016-03-31,1058.02,71,Verkoopboek projecten,15791
PR002948,C10012,2016-03-31,1210,71,Verkoopboek projecten,15792
PR002949,C10013,2016-03-31,3630,71,Verkoopboek projecten,15793
PR002950,C10014,2016-03-31,2420,71,Verkoopboek projecten,15794
PR002951,C10017,2016-03-31,2129.6,71,Verkoopboek projecten,15795
